APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Search_Type
2003.0,2003R01CA065725,787659.0,Target_Only
2003.0,2003R01CA068581,849819.0,Target_Only
2001.0,2001R01CA068581,867438.0,Target_Only
2000.0,2000R01CA069334,1991356.0,Target_Only
2001.0,2001R01CA070817,571144.0,Target_Only
2010.0,2010R01CA073674,369552.0,Target_Only
2005.0,2005R01CA079596,522613.0,Target_Only
2003.0,2003R01CA080205,1671613.0,Target_Only
2001.0,2001R01CA082664,205710.0,Target_Only
2001.0,2001R01CA082838,625518.0,Target_Only
2012.0,2012R01CA048998,1179902.0,Target_Only
2004.0,2004R01CA088164,670895.0,Target_Only
2001.0,2001R01CA058598,1151218.0,Target_Only
2003.0,2003R01CA063464,8256522.0,Target_Only
2001.0,2001R01CA063464,8124463.0,Target_Only
2011.0,2011R01CA082729,950974.0,Target_Only
2005.0,2005R01CA083918,452532.0,Target_Only
2005.0,2005R01CA087014,2033837.0,Target_Only
2010.0,2010R01CA090744,337648.0,Target_Only
2009.0,2009R01CA090744,1041869.0,Target_Only
2010.0,2010R01CA094828,378550.0,Target_Only
2004.0,2004R01CA094211,459914.0,Target_Only
2005.0,2005R01CA095003,444369.0,Target_Only
2003.0,2003R01CA095003,500577.0,Target_Only
2007.0,2007R01CA097193,2274176.0,Target_Only
2007.0,2007R01CA105055,641705.0,Target_Only
2009.0,2009R01CA108612,388699.0,Target_Only
2008.0,2008R01CA115830,848826.0,Target_Only
2010.0,2010R01CA118947,345397.0,Target_Only
2009.0,2009R01CA123089,464882.0,Target_Only
2011.0,2011R01CA111803,390423.0,Target_Only
2009.0,2009R01CA111803,442532.0,Target_Only
2012.0,2012R01CA124558,696706.0,Target_Only
2011.0,2011R01CA126846,611684.0,Target_Only
2016.0,2016R01CA137178,825381.0,Target_Only
2014.0,2014R01CA129379,542201.0,Target_Only
2013.0,2013R01CA129379,547001.0,Target_Only
2014.0,2014R01CA140468,332466.0,Target_Only
2012.0,2012R01CA143777,474252.0,Target_Only
2014.0,2014R01CA151993,517265.0,Target_Only
2015.0,2015R01CA148667,736044.0,Target_Only
2015.0,2015R01CA172382,365592.0,Target_Only
2015.0,2015R01CA170595,593578.0,Target_Only
2017.0,2017R01CA168601,323240.0,Target_Only
