PMID,search_term,search_type
34357562,aspirin,Drug
34357557,aspirin,Drug
34356987,aspirin,Drug
34356646,aspirin,Drug
34355558,aspirin,Drug
34355511,aspirin,Drug
34355129,aspirin,Drug
34354417,aspirin,Drug
34353601,aspirin,Drug
34352631,aspirin,Drug
34352109,aspirin,Drug
34350898,aspirin,Drug
34350617,aspirin,Drug
34350301,aspirin,Drug
34350146,aspirin,Drug
34350107,aspirin,Drug
34350001,aspirin,Drug
34349047,aspirin,Drug
34348657,aspirin,Drug
34347244,aspirin,Drug
34346460,aspirin,Drug
34346174,aspirin,Drug
34345443,aspirin,Drug
34345165,aspirin,Drug
34344494,aspirin,Drug
34344316,aspirin,Drug
34343488,aspirin,Drug
34341098,aspirin,Drug
34340995,aspirin,Drug
34339764,aspirin,Drug
34338759,aspirin,Drug
34337612,aspirin,Drug
34337116,aspirin,Drug
34336743,aspirin,Drug
34335822,aspirin,Drug
34334727,aspirin,Drug
34334142,aspirin,Drug
34332946,aspirin,Drug
34332942,aspirin,Drug
34331551,aspirin,Drug
34331110,aspirin,Drug
34330647,aspirin,Drug
34330595,aspirin,Drug
34329789,aspirin,Drug
34329734,aspirin,Drug
34328635,aspirin,Drug
34327476,aspirin,Drug
34327463,aspirin,Drug
34327200,aspirin,Drug
34326975,aspirin,Drug
34326051,aspirin,Drug
34323179,aspirin,Drug
34322529,aspirin,Drug
34322355,aspirin,Drug
34321909,aspirin,Drug
34321335,aspirin,Drug
34321291,aspirin,Drug
34319638,aspirin,Drug
34319491,aspirin,Drug
34316020,aspirin,Drug
34315990,aspirin,Drug
34315938,aspirin,Drug
34314517,aspirin,Drug
34313959,aspirin,Drug
34312301,aspirin,Drug
34312268,aspirin,Drug
34312135,aspirin,Drug
34311102,aspirin,Drug
34311012,aspirin,Drug
34309807,aspirin,Drug
34309219,aspirin,Drug
34307673,aspirin,Drug
34307502,aspirin,Drug
34306464,aspirin,Drug
34305932,aspirin,Drug
34304762,aspirin,Drug
34304746,aspirin,Drug
34304653,aspirin,Drug
34304630,aspirin,Drug
34304604,aspirin,Drug
34303997,aspirin,Drug
34301348,aspirin,Drug
34298747,aspirin,Drug
34298589,aspirin,Drug
34296519,aspirin,Drug
34295419,aspirin,Drug
34294337,aspirin,Drug
34293946,aspirin,Drug
34290884,aspirin,Drug
34290794,aspirin,Drug
34290607,aspirin,Drug
34290076,aspirin,Drug
34289518,aspirin,Drug
34286103,aspirin,Drug
34285591,aspirin,Drug
34285493,aspirin,Drug
34284863,aspirin,Drug
34284571,aspirin,Drug
34283507,aspirin,Drug
34283445,aspirin,Drug
34281363,aspirin,Drug
34281167,aspirin,Drug
34279841,aspirin,Drug
34279484,aspirin,Drug
34279442,aspirin,Drug
34277434,aspirin,Drug
34277264,aspirin,Drug
34275825,aspirin,Drug
34275055,aspirin,Drug
34274496,aspirin,Drug
34273484,aspirin,Drug
34273119,aspirin,Drug
34271426,aspirin,Drug
34268620,aspirin,Drug
34268366,aspirin,Drug
34268056,aspirin,Drug
34267847,aspirin,Drug
34266464,aspirin,Drug
34266452,aspirin,Drug
34264614,aspirin,Drug
34264335,aspirin,Drug
34263485,aspirin,Drug
34262952,aspirin,Drug
34262809,aspirin,Drug
34262672,aspirin,Drug
34262013,aspirin,Drug
34261738,aspirin,Drug
34261702,aspirin,Drug
34261142,aspirin,Drug
34260554,aspirin,Drug
34258905,aspirin,Drug
34258266,aspirin,Drug
34257830,aspirin,Drug
34257805,aspirin,Drug
34257320,aspirin,Drug
34257214,aspirin,Drug
34256575,aspirin,Drug
34256146,aspirin,Drug
34254366,aspirin,Drug
34254154,aspirin,Drug
34253265,aspirin,Drug
34251895,aspirin,Drug
34251132,aspirin,Drug
34250371,aspirin,Drug
34248087,aspirin,Drug
34247788,aspirin,Drug
34247393,aspirin,Drug
34247337,aspirin,Drug
34247182,aspirin,Drug
34246389,aspirin,Drug
34246383,aspirin,Drug
34245832,aspirin,Drug
34245793,aspirin,Drug
34245748,aspirin,Drug
34245507,aspirin,Drug
34245446,aspirin,Drug
34245130,aspirin,Drug
34244703,aspirin,Drug
34244153,aspirin,Drug
34244132,aspirin,Drug
34243938,aspirin,Drug
34242482,aspirin,Drug
34242462,aspirin,Drug
34242426,aspirin,Drug
34240290,aspirin,Drug
34239788,aspirin,Drug
34239442,aspirin,Drug
34239375,aspirin,Drug
34239315,aspirin,Drug
34238553,aspirin,Drug
34238511,aspirin,Drug
34237806,aspirin,Drug
34237329,aspirin,Drug
34235644,aspirin,Drug
34235613,aspirin,Drug
34235392,aspirin,Drug
34235345,aspirin,Drug
34235187,aspirin,Drug
34235072,aspirin,Drug
34234675,aspirin,Drug
34234310,aspirin,Drug
34234209,aspirin,Drug
34234075,aspirin,Drug
34234072,aspirin,Drug
34233865,aspirin,Drug
34233604,aspirin,Drug
34231940,aspirin,Drug
34231792,aspirin,Drug
34227990,aspirin,Drug
34227974,aspirin,Drug
34226979,aspirin,Drug
34226040,aspirin,Drug
34225470,aspirin,Drug
34224383,aspirin,Drug
34224271,aspirin,Drug
34224060,aspirin,Drug
34222778,aspirin,Drug
34222174,aspirin,Drug
34220974,aspirin,Drug
34220493,aspirin,Drug
34220204,aspirin,Drug
34217665,aspirin,Drug
34217146,aspirin,Drug
34216037,aspirin,Drug
34215460,aspirin,Drug
34214300,aspirin,Drug
34212187,aspirin,Drug
34211715,aspirin,Drug
34211572,aspirin,Drug
34211246,aspirin,Drug
34210661,aspirin,Drug
34210520,aspirin,Drug
34210410,aspirin,Drug
34210409,aspirin,Drug
34210157,aspirin,Drug
34209594,aspirin,Drug
34209248,aspirin,Drug
34209139,aspirin,Drug
34208905,aspirin,Drug
34208360,aspirin,Drug
34205974,aspirin,Drug
34205865,aspirin,Drug
34204103,aspirin,Drug
34203526,aspirin,Drug
34203378,aspirin,Drug
34202960,aspirin,Drug
34202343,aspirin,Drug
34201817,aspirin,Drug
34201186,aspirin,Drug
34199551,aspirin,Drug
34196899,aspirin,Drug
34195794,aspirin,Drug
34194949,aspirin,Drug
34194520,aspirin,Drug
34193948,aspirin,Drug
34193454,aspirin,Drug
34193316,aspirin,Drug
34192898,aspirin,Drug
34192188,aspirin,Drug
34191907,aspirin,Drug
34191011,aspirin,Drug
34190782,aspirin,Drug
34190669,aspirin,Drug
34190206,aspirin,Drug
34189958,aspirin,Drug
34189596,aspirin,Drug
34188087,aspirin,Drug
34187688,aspirin,Drug
34186113,aspirin,Drug
34185769,aspirin,Drug
34184214,aspirin,Drug
34182586,aspirin,Drug
34182172,aspirin,Drug
34182131,aspirin,Drug
34182020,aspirin,Drug
34179976,aspirin,Drug
34177775,aspirin,Drug
34176693,aspirin,Drug
34176293,aspirin,Drug
34174970,aspirin,Drug
34174872,aspirin,Drug
34174492,aspirin,Drug
34174338,aspirin,Drug
34174296,aspirin,Drug
34173760,aspirin,Drug
34173748,aspirin,Drug
34172997,aspirin,Drug
34170328,aspirin,Drug
34169821,aspirin,Drug
34168274,aspirin,Drug
34168187,aspirin,Drug
34167639,aspirin,Drug
34167477,aspirin,Drug
34166171,aspirin,Drug
34164954,aspirin,Drug
34164723,aspirin,Drug
34163420,aspirin,Drug
34163168,aspirin,Drug
34162597,aspirin,Drug
34162218,aspirin,Drug
34162195,aspirin,Drug
34162181,aspirin,Drug
34162040,aspirin,Drug
34161824,aspirin,Drug
34160980,aspirin,Drug
34160952,aspirin,Drug
34160743,aspirin,Drug
34160390,aspirin,Drug
34158948,aspirin,Drug
34158603,aspirin,Drug
34158462,aspirin,Drug
34158105,aspirin,Drug
34156663,aspirin,Drug
34154964,aspirin,Drug
34154497,aspirin,Drug
34152422,aspirin,Drug
34152419,aspirin,Drug
34151676,aspirin,Drug
34150404,aspirin,Drug
34149416,aspirin,Drug
34148165,aspirin,Drug
34148077,aspirin,Drug
34147883,aspirin,Drug
34147831,aspirin,Drug
34147660,aspirin,Drug
34147402,aspirin,Drug
34144111,aspirin,Drug
34144108,aspirin,Drug
34142960,aspirin,Drug
34142415,aspirin,Drug
34142118,aspirin,Drug
34141669,aspirin,Drug
34140759,aspirin,Drug
34140254,aspirin,Drug
34140207,aspirin,Drug
34139696,aspirin,Drug
34138850,aspirin,Drug
34134808,aspirin,Drug
34134450,aspirin,Drug
34133541,aspirin,Drug
34133445,aspirin,Drug
34133395,aspirin,Drug
34132086,aspirin,Drug
34131895,aspirin,Drug
34131442,aspirin,Drug
20301769,aspirin,Drug
34130349,aspirin,Drug
34130339,aspirin,Drug
34130102,aspirin,Drug
34129239,aspirin,Drug
34128354,aspirin,Drug
34127904,aspirin,Drug
34127813,aspirin,Drug
34127503,aspirin,Drug
34126921,aspirin,Drug
34126832,aspirin,Drug
34126362,aspirin,Drug
34126182,aspirin,Drug
34124808,aspirin,Drug
34123658,aspirin,Drug
34123375,aspirin,Drug
34122428,aspirin,Drug
34121855,aspirin,Drug
34119270,aspirin,Drug
34118111,aspirin,Drug
34117181,aspirin,Drug
34116848,aspirin,Drug
34116467,aspirin,Drug
34114659,aspirin,Drug
34114623,aspirin,Drug
34114046,aspirin,Drug
34113756,aspirin,Drug
34112161,aspirin,Drug
34108528,aspirin,Drug
34108299,aspirin,Drug
34107695,aspirin,Drug
34106081,aspirin,Drug
34106029,aspirin,Drug
34105801,aspirin,Drug
34105316,aspirin,Drug
34105097,aspirin,Drug
34104825,aspirin,Drug
34104032,aspirin,Drug
34103949,aspirin,Drug
34103852,aspirin,Drug
34103299,aspirin,Drug
34103192,aspirin,Drug
34102448,aspirin,Drug
34101134,aspirin,Drug
34100567,aspirin,Drug
34099410,aspirin,Drug
34098110,aspirin,Drug
34097735,aspirin,Drug
34097572,aspirin,Drug
34096012,aspirin,Drug
34095732,aspirin,Drug
34095019,aspirin,Drug
34095017,aspirin,Drug
34094500,aspirin,Drug
34093210,aspirin,Drug
34091857,aspirin,Drug
34090772,aspirin,Drug
34090475,aspirin,Drug
34090177,aspirin,Drug
34089489,aspirin,Drug
34089392,aspirin,Drug
34088910,aspirin,Drug
34088250,aspirin,Drug
34087567,aspirin,Drug
34086033,aspirin,Drug
34085871,aspirin,Drug
34085533,aspirin,Drug
34085115,aspirin,Drug
34085052,aspirin,Drug
34083228,aspirin,Drug
34081931,aspirin,Drug
34080629,aspirin,Drug
34078751,aspirin,Drug
34078519,aspirin,Drug
34077930,aspirin,Drug
34076601,aspirin,Drug
34076353,aspirin,Drug
34070301,aspirin,Drug
34069086,aspirin,Drug
34068095,aspirin,Drug
34067020,aspirin,Drug
34063551,aspirin,Drug
34062566,aspirin,Drug
34060791,aspirin,Drug
34060087,aspirin,Drug
34059986,aspirin,Drug
34059879,aspirin,Drug
34059446,aspirin,Drug
34058828,aspirin,Drug
34057160,aspirin,Drug
34055556,aspirin,Drug
34055541,aspirin,Drug
34055502,aspirin,Drug
34054296,aspirin,Drug
34053708,aspirin,Drug
34053637,aspirin,Drug
34053277,aspirin,Drug
34052667,aspirin,Drug
34052098,aspirin,Drug
34051884,aspirin,Drug
34051436,aspirin,Drug
34051259,aspirin,Drug
34050970,aspirin,Drug
34050956,aspirin,Drug
34050375,aspirin,Drug
34049958,aspirin,Drug
34049700,aspirin,Drug
34049672,aspirin,Drug
34048399,aspirin,Drug
34046471,aspirin,Drug
34046102,aspirin,Drug
34044735,aspirin,Drug
34044404,aspirin,Drug
34043773,aspirin,Drug
